"dimension","value","id","coder","accepted","llm"
"quality of relationships","medium",1627804106587865090,3,"N","LLAMA2"
"happiness","low",1630070084503756800,3,"Y","LLAMA2"
"resilience","low",1630070084503756800,3,"N","LLAMA2"
"self-esteem","low",1630070084503756800,3,"N","LLAMA2"
"life satisfaction","low",1630070084503756800,3,"Y","LLAMA2"
"fear of future","high",1630070084503756800,3,"Y","LLAMA2"
"vitality","low",1630070084503756800,3,"N","LLAMA2"
"having energy","low",1630070084503756800,3,"N","LLAMA2"
"positive functioning","low",1630070084503756800,3,"Y","LLAMA2"
"expressing job satisfaction","medium",1630070084503756800,3,"N","LLAMA2"
"expressing optimism","low",1630070084503756800,3,"N","LLAMA2"
"peace with thoughts and feelings","low",1630070084503756800,3,"N","LLAMA2"
"purpose in life","low",1630070084503756800,3,"N","LLAMA2"
"depression","high",1630070084503756800,3,"N","LLAMA2"
"anxiety","high",1630070084503756800,3,"N","LLAMA2"
"suffering","high",1630070084503756800,3,"N","LLAMA2"
"feeling pain","high",1630070084503756800,3,"N","LLAMA2"
"expressing altruism","low",1630070084503756800,3,"N","LLAMA2"
"feeling trusted","low",1630070084503756800,3,"N","LLAMA2"
"mastery (ability, capability)","medium",1630070084503756800,3,"N","LLAMA2"
"perceiving discrimination","high",1630070084503756800,3,"N","LLAMA2"
"religious criticism","high",1630070084503756800,3,"N","LLAMA2"
"financial/material worry","low",1630070084503756800,3,"N","LLAMA2"
"life after death belief","medium",1630070084503756800,3,"N","LLAMA2"
"volunteering","low",1630070084503756800,3,"N","LLAMA2"
"charitable giving/helping","low",1630070084503756800,3,"N","LLAMA2"
"seeking for forgiveness","low",1630070084503756800,3,"N","LLAMA2"
"feeling having a political voice","low",1630070084503756800,3,"N","LLAMA2"
"expressing government approval","low",1630070084503756800,3,"N","LLAMA2"
"having hope","low",1630070084503756800,3,"N","LLAMA2"
"promoting good","low",1630070084503756800,3,"N","LLAMA2"
"expressing delayed gratification","low",1630070084503756800,3,"N","LLAMA2"
"expressing empathy","low",1630070084503756800,3,"N","LLAMA2"
"expressing empathy","low",1630070084503756800,3,"N","LLAMA2"
"happiness","high",1630240632513105920,3,"Y","LLAMA2"
"life satisfaction","high",1630240632513105920,3,"Y","LLAMA2"
"positive functioning","high",1630240632513105920,3,"Y","LLAMA2"
"expressing optimism","high",1630240632513105920,3,"N","LLAMA2"
"balance in the various aspects of own life","high",1630240632513105920,3,"N","LLAMA2"
"belonging to society","medium",1630240632513105920,3,"N","LLAMA2"
"expressing gratitude","high",1630240632513105920,3,"Y","LLAMA2"
"feeling loved by god","medium",1630240632513105920,3,"N","LLAMA2"
"mastery (ability, capability)","high",1630240632513105920,3,"Y","LLAMA2"
"quality of relationships","medium",1630240632513105920,3,"Y","LLAMA2"
"happiness","high",1630240632513105920,3,"N","LLAMA2"
"having hope","high",1630240632513105920,3,"Y","LLAMA2"
"promoting good","medium",1630240632513105920,3,"Y","LLAMA2"
"expressing empathy","high",1630240632513105920,3,"N","LLAMA2"
"describing health limitations","low",1630240632513105920,3,"N","LLAMA2"
"expressing altruism","high",1631922122145812480,3,"Y","LLAMA2"
"belonging to society","high",1631922122145812480,3,"Y","LLAMA2"
"expressing gratitude","medium",1631922122145812480,3,"N","LLAMA2"
"feeling trusted","medium",1631922122145812480,3,"Y","LLAMA2"
"mastery (ability, capability)","medium",1631922122145812480,3,"N","LLAMA2"
"perceiving discrimination","low",1631922122145812480,3,"N","LLAMA2"
"spiritual punishment","low",1631922122145812480,3,"N","LLAMA2"
"financial/material worry","low",1631922122145812480,3,"N","LLAMA2"
"life after death belief","low",1631922122145812480,3,"N","LLAMA2"
"volunteering","high",1631922122145812480,3,"N","LLAMA2"
"charitable giving/helping","high",1631922122145812480,3,"Y","LLAMA2"
"seeking for forgiveness","low",1631922122145812480,3,"N","LLAMA2"
"feeling having a political voice","medium",1631922122145812480,3,"N","LLAMA2"
"expressing government approval","high",1631922122145812480,3,"N","LLAMA2"
"having hope","high",1631922122145812480,3,"N","LLAMA2"
"promoting good","high",1631922122145812480,3,"N","LLAMA2"
"expressing delayed gratification","low",1631922122145812480,3,"N","LLAMA2"
"describing health limitations","medium",1631922122145812480,3,"N","LLAMA2"
"expressing empathy","high",1631922122145812480,3,"N","LLAMA2"
"self-esteem","low",1626290277831921664,3,"N","LLAMA2"
"life satisfaction","low",1626290277831921664,3,"Y","LLAMA2"
"happiness","low",1626290277831921664,3,"Y","LLAMA2"
"resilience","low",1626290277831921664,3,"Y","LLAMA2"
"positive functioning","low",1626290277831921664,3,"Y","LLAMA2"
"peace with thoughts and feelings","low",1626290277831921664,3,"N","LLAMA2"
"purpose in life","low",1626290277831921664,3,"Y","LLAMA2"
"depression","high",1626290277831921664,3,"Y","LLAMA2"
"expressing altruism","low",1626290277831921664,3,"N","LLAMA2"
"loneliness","high",1626290277831921664,3,"Y","LLAMA2"
"quality of relationships","low",1626290277831921664,3,"N","LLAMA2"
"belonging to society","low",1626290277831921664,3,"N","LLAMA2"
"expressing gratitude","low",1626290277831921664,3,"Y","LLAMA2"
"expressing trust","low",1626290277831921664,3,"Y","LLAMA2"
"feeling trusted","low",1626290277831921664,3,"N","LLAMA2"
"balance in the various aspects of own life","low",1626290277831921664,3,"Y","LLAMA2"
"mastery (ability, capability)","low",1626290277831921664,3,"Y","LLAMA2"
"perceiving discrimination","low",1626290277831921664,3,"N","LLAMA2"
"feeling loved by god","low",1626290277831921664,3,"N","LLAMA2"
"belief in god","medium",1626290277831921664,3,"N","LLAMA2"
"religious criticism","low",1626290277831921664,3,"N","LLAMA2"
"spiritual punishment","low",1626290277831921664,3,"N","LLAMA2"
"feeling religious comfort","low",1626290277831921664,3,"N","LLAMA2"
"having hope","low",1626290277831921664,3,"N","LLAMA2"
"expressing delayed gratification","low",1626290277831921664,3,"N","LLAMA2"
"describing health limitations","high",1626290277831921664,3,"N","LLAMA2"
"expressing empathy","low",1626290277831921664,3,"N","LLAMA2"
"happiness","high",1632279447297564673,3,"Y","LLAMA2"
"resilience","low",1632279447297564673,3,"N","LLAMA2"
"self-esteem","medium",1632279447297564673,3,"N","LLAMA2"
"life satisfaction","low",1632279447297564673,3,"N","LLAMA2"
"fear of future","low",1632279447297564673,3,"N","LLAMA2"
"vitality","low",1632279447297564673,3,"N","LLAMA2"
"having energy","low",1632279447297564673,3,"N","LLAMA2"
"positive functioning","low",1632279447297564673,3,"N","LLAMA2"
"expressing job satisfaction","low",1632279447297564673,3,"N","LLAMA2"
"expressing optimism","low",1632279447297564673,3,"N","LLAMA2"
"peace with thoughts and feelings","low",1632279447297564673,3,"N","LLAMA2"
"purpose in life","low",1632279447297564673,3,"N","LLAMA2"
"depression","high",1632279447297564673,3,"N","LLAMA2"
"anxiety","high",1632279447297564673,3,"N","LLAMA2"
"suffering","high",1632279447297564673,3,"N","LLAMA2"
"feeling pain","high",1632279447297564673,3,"N","LLAMA2"
"balance in the various aspects of own life","high",1632279447297564673,3,"N","LLAMA2"
"mastery (ability, capability)","low",1632279447297564673,3,"N","LLAMA2"
"loneliness","medium",1632279447297564673,3,"N","LLAMA2"
"financial/material worry","low",1632279447297564673,3,"N","LLAMA2"
"having hope","high",1632279447297564673,3,"N","LLAMA2"
"resilience","low",1629564359444766720,3,"N","LLAMA2"
"happiness","low",1629564359444766720,3,"Y","LLAMA2"
"life satisfaction","low",1629564359444766720,3,"Y","LLAMA2"
"fear of future","high",1629564359444766720,3,"Y","LLAMA2"
"vitality","low",1629564359444766720,3,"N","LLAMA2"
"expressing optimism","low",1629564359444766720,3,"N","LLAMA2"
"belonging to society","low",1629564359444766720,3,"N","LLAMA2"
"expressing altruism","high",1629564359444766720,3,"Y","LLAMA2"
"feeling trusted","medium",1629564359444766720,3,"Y","LLAMA2"
"balance in the various aspects of own life","low",1629564359444766720,3,"N","LLAMA2"
"feeling having a political voice","high",1629564359444766720,3,"Y","LLAMA2"
"expressing government approval","high",1629564359444766720,3,"N","LLAMA2"
"ptsd (post-traumatic stress disorder)","low",1629564359444766720,3,"N","LLAMA2"
"describing smoking related health issues","medium",1629564359444766720,3,"N","LLAMA2"
"expressing empathy","high",1629564359444766720,3,"Y","LLAMA2"
"happiness","high",1630634205695623188,3,"Y","LLAMA2"
"resilience","medium",1630634205695623188,3,"N","LLAMA2"
"positive functioning","high",1630634205695623188,3,"Y","LLAMA2"
"expressing optimism","high",1630634205695623188,3,"N","LLAMA2"
"balance in the various aspects of own life","high",1630634205695623188,3,"N","LLAMA2"
"expressing gratitude","medium",1630634205695623188,3,"N","LLAMA2"
"mastery (ability, capability)","medium",1630634205695623188,3,"N","LLAMA2"
"quality of relationships","medium",1630634205695623188,3,"N","LLAMA2"
"expressing empathy","high",1630634205695623188,3,"N","LLAMA2"
"resilience","low",1633713239811866631,3,"N","LLAMA2"
"positive functioning","low",1633713239811866631,3,"Y","LLAMA2"
"expressing optimism","low",1633713239811866631,3,"N","LLAMA2"
"expressing altruism","low",1633713239811866631,3,"Y","LLAMA2"
"belonging to society","low",1633713239811866631,3,"Y","LLAMA2"
"perceiving discrimination","medium",1633713239811866631,3,"Y","LLAMA2"
"feeling loved by god","low",1633713239811866631,3,"N","LLAMA2"
"financial/material worry","low",1633713239811866631,3,"N","LLAMA2"
"expressing government approval","high",1633713239811866631,3,"N","LLAMA2"
"expressing empathy","low",1633713239811866631,3,"Y","LLAMA2"
"resilience","medium",1628185868002381825,3,"N","LLAMA2"
"positive functioning","high",1628185868002381825,3,"Y","LLAMA2"
"expressing optimism","high",1628185868002381825,3,"Y","LLAMA2"
"expressing altruism","low",1628185868002381825,3,"N","LLAMA2"
"loneliness","medium",1628185868002381825,3,"N","LLAMA2"
"quality of relationships","medium",1628185868002381825,3,"N","LLAMA2"
"belonging to society","medium",1628185868002381825,3,"Y","LLAMA2"
"expressing gratitude","low",1628185868002381825,3,"N","LLAMA2"
"expressing trust","low",1628185868002381825,3,"N","LLAMA2"
"feeling trusted","low",1628185868002381825,3,"N","LLAMA2"
"balance in the various aspects of own life","medium",1628185868002381825,3,"N","LLAMA2"
"mastery (ability, capability)","medium",1628185868002381825,3,"N","LLAMA2"
"perceiving discrimination","low",1628185868002381825,3,"N","LLAMA2"
"feeling loved by god","low",1628185868002381825,3,"N","LLAMA2"
"belief in god","low",1628185868002381825,3,"N","LLAMA2"
"religious criticism","low",1628185868002381825,3,"N","LLAMA2"
"spiritual punishment","low",1628185868002381825,3,"N","LLAMA2"
"feeling religious comfort","low",1628185868002381825,3,"N","LLAMA2"
"describing health limitations","medium",1628185868002381825,3,"N","LLAMA2"
"expressing empathy","high",1628185868002381825,3,"Y","LLAMA2"
"balance in the various aspects of own life","high",1628531551372976130,3,"N","LLAMA2"
"mastery (ability, capability)","low",1628531551372976130,3,"Y","LLAMA2"
"financial/material worry","low",1628531551372976130,3,"N","LLAMA2"
"having hope","high",1628531551372976130,3,"N","LLAMA2"
"expressing government approval","medium",1628531551372976130,3,"N","LLAMA2"
"promoting good","high",1628531551372976130,3,"N","LLAMA2"
"happiness","low",1629856235423162369,3,"Y","LLAMA2"
"resilience","low",1629856235423162369,3,"N","LLAMA2"
"self-esteem","low",1629856235423162369,3,"N","LLAMA2"
"life satisfaction","low",1629856235423162369,3,"Y","LLAMA2"
"fear of future","high",1629856235423162369,3,"Y","LLAMA2"
"vitality","low",1629856235423162369,3,"Y","LLAMA2"
"having energy","low",1629856235423162369,3,"Y","LLAMA2"
"positive functioning","low",1629856235423162369,3,"Y","LLAMA2"
"expressing job satisfaction","low",1629856235423162369,3,"Y","LLAMA2"
"expressing optimism","low",1629856235423162369,3,"Y","LLAMA2"
"peace with thoughts and feelings","low",1629856235423162369,3,"Y","LLAMA2"
"purpose in life","low",1629856235423162369,3,"Y","LLAMA2"
"depression","high",1629856235423162369,3,"N","LLAMA2"
"anxiety","high",1629856235423162369,3,"N","LLAMA2"
"suffering","high",1629856235423162369,3,"Y","LLAMA2"
"feeling pain","high",1629856235423162369,3,"N","LLAMA2"
"belonging to society","low",1629856235423162369,3,"N","LLAMA2"
"perceiving discrimination","high",1629856235423162369,3,"N","LLAMA2"
"feeling loved by god","low",1629856235423162369,3,"N","LLAMA2"
"belief in god","low",1629856235423162369,3,"N","LLAMA2"
"religious criticism","high",1629856235423162369,3,"N","LLAMA2"
"spiritual punishment","low",1629856235423162369,3,"N","LLAMA2"
"financial/material worry","low",1629856235423162369,3,"N","LLAMA2"
"feeling having a political voice","high",1629856235423162369,3,"N","LLAMA2"
"expressing government approval","low",1629856235423162369,3,"Y","LLAMA2"
"having hope","medium",1629856235423162369,3,"N","LLAMA2"
"promoting good","high",1629856235423162369,3,"N","LLAMA2"
"expressing delayed gratification","low",1629856235423162369,3,"N","LLAMA2"
"describing health limitations","medium",1629856235423162369,3,"N","LLAMA2"
"expressing empathy","low",1629856235423162369,3,"N","LLAMA2"
"happiness","low",1628392125976006656,3,"Y","LLAMA2"
"resilience","low",1628392125976006656,3,"N","LLAMA2"
"self-esteem","low",1628392125976006656,3,"N","LLAMA2"
"life satisfaction","low",1628392125976006656,3,"Y","LLAMA2"
"fear of future","high",1628392125976006656,3,"Y","LLAMA2"
"vitality","low",1628392125976006656,3,"Y","LLAMA2"
"positive functioning","low",1628392125976006656,3,"Y","LLAMA2"
"expressing job satisfaction","low",1628392125976006656,3,"Y","LLAMA2"
"expressing optimism","low",1628392125976006656,3,"Y","LLAMA2"
"peace with thoughts and feelings","low",1628392125976006656,3,"Y","LLAMA2"
"purpose in life","low",1628392125976006656,3,"Y","LLAMA2"
"depression","high",1628392125976006656,3,"Y","LLAMA2"
"anxiety","high",1628392125976006656,3,"N","LLAMA2"
"suffering","high",1628392125976006656,3,"N","LLAMA2"
"feeling pain","high",1628392125976006656,3,"Y","LLAMA2"
"belonging to society","low",1628392125976006656,3,"N","LLAMA2"
"expressing altruism","low",1628392125976006656,3,"N","LLAMA2"
"feeling loved by god","low",1628392125976006656,3,"N","LLAMA2"
"religious criticism","high",1628392125976006656,3,"N","LLAMA2"
"spiritual punishment","high",1628392125976006656,3,"N","LLAMA2"
"feeling having a political voice","high",1628392125976006656,3,"N","LLAMA2"
"expressing government approval","high",1628392125976006656,3,"N","LLAMA2"
"having hope","high",1628392125976006656,3,"N","LLAMA2"
"describing health limitations","high",1628392125976006656,3,"N","LLAMA2"
"expressing empathy","low",1628392125976006656,3,"Y","LLAMA2"
"self-esteem","low",1628664394388316160,3,"N","LLAMA2"
"resilience","medium",1628664394388316160,3,"Y","LLAMA2"
"anxiety","high",1628664394388316160,3,"N","LLAMA2"
"quality of relationships","low",1628664394388316160,3,"Y","LLAMA2"
"balance in the various aspects of own life","medium",1628664394388316160,3,"Y","LLAMA2"
"mastery (ability, capability)","high",1628664394388316160,3,"Y","LLAMA2"
"seeking for forgiveness","low",1628664394388316160,3,"N","LLAMA2"
"having hope","medium",1628664394388316160,3,"N","LLAMA2"
"promoting good","high",1628664394388316160,3,"N","LLAMA2"
"expressing empathy","high",1628664394388316160,3,"N","LLAMA2"
"happiness","high",1634253872226246656,3,"Y","LLAMA2"
"resilience","medium",1634253872226246656,3,"Y","LLAMA2"
"self-esteem","medium",1634253872226246656,3,"N","LLAMA2"
"life satisfaction","high",1634253872226246656,3,"N","LLAMA2"
"fear of future","low",1634253872226246656,3,"Y","LLAMA2"
"vitality","high",1634253872226246656,3,"Y","LLAMA2"
"having energy","high",1634253872226246656,3,"Y","LLAMA2"
"positive functioning","high",1634253872226246656,3,"Y","LLAMA2"
"expressing job satisfaction","high",1634253872226246656,3,"N","LLAMA2"
"expressing optimism","high",1634253872226246656,3,"Y","LLAMA2"
"expressing altruism","high",1634253872226246656,3,"Y","LLAMA2"
"belonging to society","medium",1634253872226246656,3,"Y","LLAMA2"
"mastery (ability, capability)","medium",1634253872226246656,3,"N","LLAMA2"
"balance in the various aspects of own life","medium",1634253872226246656,3,"Y","LLAMA2"
"feeling loved by god","low",1634253872226246656,3,"N","LLAMA2"
"financial/material worry","low",1634253872226246656,3,"Y","LLAMA2"
"feeling having a political voice","medium",1634253872226246656,3,"N","LLAMA2"
"promoting good","high",1634253872226246656,3,"N","LLAMA2"
"describing health limitations","high",1634253872226246656,3,"N","LLAMA2"
"expressing empathy","low",1634253872226246656,3,"N","LLAMA2"
"happiness","low",1628751558203645954,3,"Y","LLAMA2"
"life satisfaction","low",1628751558203645954,3,"Y","LLAMA2"
"fear of future","high",1628751558203645954,3,"Y","LLAMA2"
"vitality","low",1628751558203645954,3,"Y","LLAMA2"
"positive functioning","low",1628751558203645954,3,"Y","LLAMA2"
"expressing optimism","low",1628751558203645954,3,"Y","LLAMA2"
"peace with thoughts and feelings","low",1628751558203645954,3,"Y","LLAMA2"
"purpose in life","low",1628751558203645954,3,"Y","LLAMA2"
"belonging to society","low",1628751558203645954,3,"Y","LLAMA2"
"expressing gratitude","low",1628751558203645954,3,"Y","LLAMA2"
"feeling loved by god","low",1628751558203645954,3,"N","LLAMA2"
"belief in god","low",1628751558203645954,3,"N","LLAMA2"
"religious criticism","high",1628751558203645954,3,"N","LLAMA2"
"spiritual punishment","high",1628751558203645954,3,"N","LLAMA2"
"financial/material worry","low",1628751558203645954,3,"N","LLAMA2"
"feeling having a political voice","high",1628751558203645954,3,"Y","LLAMA2"
"expressing government approval","high",1628751558203645954,3,"N","LLAMA2"
"expressing empathy","low",1628751558203645954,3,"N","LLAMA2"
"happiness","low",1633246882905444352,3,"N","LLAMA2"
"resilience","low",1633246882905444352,3,"N","LLAMA2"
"self-esteem","low",1633246882905444352,3,"N","LLAMA2"
"life satisfaction","low",1633246882905444352,3,"Y","LLAMA2"
"fear of future","high",1633246882905444352,3,"N","LLAMA2"
"vitality","low",1633246882905444352,3,"N","LLAMA2"
"having energy","low",1633246882905444352,3,"N","LLAMA2"
"positive functioning","low",1633246882905444352,3,"N","LLAMA2"
"expressing job satisfaction","low",1633246882905444352,3,"N","LLAMA2"
"expressing optimism","low",1633246882905444352,3,"N","LLAMA2"
"peace with thoughts and feelings","low",1633246882905444352,3,"Y","LLAMA2"
"purpose in life","low",1633246882905444352,3,"N","LLAMA2"
"depression","high",1633246882905444352,3,"N","LLAMA2"
"anxiety","high",1633246882905444352,3,"N","LLAMA2"
"suffering","high",1633246882905444352,3,"N","LLAMA2"
"feeling pain","high",1633246882905444352,3,"N","LLAMA2"
"quality of relationships","low",1633246882905444352,3,"Y","LLAMA2"
"expressing gratitude","low",1633246882905444352,3,"N","LLAMA2"
"feeling trusted","low",1633246882905444352,3,"N","LLAMA2"
"belief in god","medium",1633246882905444352,3,"N","LLAMA2"
"religious criticism","high",1633246882905444352,3,"N","LLAMA2"
"spiritual punishment","high",1633246882905444352,3,"N","LLAMA2"
"having hope","high",1633246882905444352,3,"N","LLAMA2"
"expressing delayed gratification","medium",1633246882905444352,3,"N","LLAMA2"
"belonging to society","high",1628953327210999808,3,"Y","LLAMA2"
"expressing gratitude","high",1628953327210999808,3,"Y","LLAMA2"
"feeling trusted","medium",1628953327210999808,3,"N","LLAMA2"
"mastery (ability, capability)","high",1628953327210999808,3,"N","LLAMA2"
"perceiving discrimination","low",1628953327210999808,3,"N","LLAMA2"
"religious criticism","low",1628953327210999808,3,"N","LLAMA2"
"feeling having a political voice","high",1628953327210999808,3,"N","LLAMA2"
"having hope","high",1628953327210999808,3,"Y","LLAMA2"
"describing health limitations","medium",1628953327210999808,3,"N","LLAMA2"
"expressing empathy","high",1628953327210999808,3,"N","LLAMA2"
"resilience","medium",1628165227685777413,3,"N","LLAMA2"
"happiness","high",1628165227685777413,3,"Y","LLAMA2"
"self-esteem","high",1628165227685777413,3,"Y","LLAMA2"
"life satisfaction","high",1628165227685777413,3,"Y","LLAMA2"
"positive functioning","high",1628165227685777413,3,"Y","LLAMA2"
"expressing job satisfaction","high",1628165227685777413,3,"Y","LLAMA2"
"expressing optimism","high",1628165227685777413,3,"Y","LLAMA2"
"expressing altruism","high",1628165227685777413,3,"Y","LLAMA2"
"belonging to society","medium",1628165227685777413,3,"Y","LLAMA2"
"mastery (ability, capability)","medium",1628165227685777413,3,"Y","LLAMA2"
"feeling loved by god","low",1628165227685777413,3,"N","LLAMA2"
"ptsd (post-traumatic stress disorder)","low",1628165227685777413,3,"N","LLAMA2"
"describing smoking related health issues","low",1628165227685777413,3,"N","LLAMA2"
"describing drinking related health issues","low",1628165227685777413,3,"N","LLAMA2"
"describing health limitations","low",1628165227685777413,3,"N","LLAMA2"
"expressing empathy","high",1628165227685777413,3,"Y","LLAMA2"
"happiness","high",1632377608036859905,3,"Y","LLAMA2"
"positive functioning","high",1632377608036859905,3,"Y","LLAMA2"
"financial/material worry","low",1632377608036859905,3,"N","LLAMA2"
"having hope","high",1632377608036859905,3,"N","LLAMA2"
"describing health limitations","low",1632377608036859905,3,"N","LLAMA2"
"resilience","low",1632803144320032770,3,"Y","LLAMA2"
"happiness","low",1632803144320032770,3,"Y","LLAMA2"
"life satisfaction","low",1632803144320032770,3,"N","LLAMA2"
"vitality","low",1632803144320032770,3,"N","LLAMA2"
"balance in the various aspects of own life","low",1632803144320032770,3,"N","LLAMA2"
"perceiving discrimination","low",1632803144320032770,3,"N","LLAMA2"
"feeling loved by god","low",1632803144320032770,3,"N","LLAMA2"
"belief in god","high",1632803144320032770,3,"N","LLAMA2"
"resilience","low",1632733127738118144,3,"Y","LLAMA2"
"fear of future","high",1632733127738118144,3,"Y","LLAMA2"
"vitality","low",1632733127738118144,3,"Y","LLAMA2"
"expressing optimism","low",1632733127738118144,3,"Y","LLAMA2"
"peace with thoughts and feelings","low",1632733127738118144,3,"Y","LLAMA2"
"suffering","high",1632733127738118144,3,"Y","LLAMA2"
"expressing altruism","low",1632733127738118144,3,"N","LLAMA2"
"loneliness","low",1632733127738118144,3,"N","LLAMA2"
"quality of relationships","medium",1632733127738118144,3,"Y","LLAMA2"
"belonging to society","low",1632733127738118144,3,"Y","LLAMA2"
"expressing gratitude","low",1632733127738118144,3,"N","LLAMA2"
"expressing trust","low",1632733127738118144,3,"Y","LLAMA2"
"feeling trusted","low",1632733127738118144,3,"N","LLAMA2"
"balance in the various aspects of own life","low",1632733127738118144,3,"N","LLAMA2"
"mastery (ability, capability)","low",1632733127738118144,3,"N","LLAMA2"
"perceiving discrimination","low",1632733127738118144,3,"N","LLAMA2"
"feeling loved by god","low",1632733127738118144,3,"N","LLAMA2"
"belief in god","low",1632733127738118144,3,"N","LLAMA2"
"religious criticism","high",1632733127738118144,3,"N","LLAMA2"
"spiritual punishment","low",1632733127738118144,3,"N","LLAMA2"
"feeling religious comfort","low",1632733127738118144,3,"N","LLAMA2"
"expressing empathy","medium",1632733127738118144,3,"N","LLAMA2"
"happiness","high",1632598294429044737,3,"Y","LLAMA2"
"self-esteem","high",1632598294429044737,3,"Y","LLAMA2"
"life satisfaction","medium",1632598294429044737,3,"Y","LLAMA2"
"positive functioning","high",1632598294429044737,3,"Y","LLAMA2"
"expressing optimism","high",1632598294429044737,3,"Y","LLAMA2"
"peace with thoughts and feelings","medium",1632598294429044737,3,"N","LLAMA2"
"balance in the various aspects of own life","high",1632598294429044737,3,"N","LLAMA2"
"feeling loved by god","high",1632598294429044737,3,"N","LLAMA2"
"belief in god","high",1632598294429044737,3,"N","LLAMA2"
"describing health limitations","medium",1632598294429044737,3,"N","LLAMA2"
"expressing empathy","high",1632598294429044737,3,"Y","LLAMA2"
"happiness","low",1629506340962856962,3,"Y","LLAMA2"
"life satisfaction","low",1629506340962856962,3,"Y","LLAMA2"
"fear of future","high",1629506340962856962,3,"Y","LLAMA2"
"vitality","low",1629506340962856962,3,"Y","LLAMA2"
"positive functioning","low",1629506340962856962,3,"Y","LLAMA2"
"expressing optimism","low",1629506340962856962,3,"N","LLAMA2"
"purpose in life","low",1629506340962856962,3,"N","LLAMA2"
"depression","high",1629506340962856962,3,"N","LLAMA2"
"anxiety","high",1629506340962856962,3,"N","LLAMA2"
"suffering","high",1629506340962856962,3,"N","LLAMA2"
"feeling pain","high",1629506340962856962,3,"Y","LLAMA2"
"expressing altruism","low",1629506340962856962,3,"N","LLAMA2"
"loneliness","medium",1629506340962856962,3,"N","LLAMA2"
"quality of relationships","medium",1629506340962856962,3,"N","LLAMA2"
"belonging to society","low",1629506340962856962,3,"N","LLAMA2"
"feeling trusted","low",1629506340962856962,3,"N","LLAMA2"
"mastery (ability, capability)","low",1629506340962856962,3,"N","LLAMA2"
"perceiving discrimination","high",1629506340962856962,3,"N","LLAMA2"
"religious criticism","high",1629506340962856962,3,"N","LLAMA2"
"feeling having a political voice","high",1629506340962856962,3,"N","LLAMA2"
"expressing government approval","high",1629506340962856962,3,"N","LLAMA2"
"promoting good","high",1629506340962856962,3,"N","LLAMA2"
"ptsd (post-traumatic stress disorder)","low",1629506340962856962,3,"N","LLAMA2"
"describing smoking related health issues","medium",1629506340962856962,3,"N","LLAMA2"
"describing drinking related health issues","medium",1629506340962856962,3,"N","LLAMA2"
"describing health limitations","medium",1629506340962856962,3,"N","LLAMA2"
"expressing empathy","low",1629506340962856962,3,"N","LLAMA2"
"happiness","high",1628284631605776385,3,"Y","LLAMA2"
"vitality","low",1628284631605776385,3,"N","LLAMA2"
"expressing optimism","high",1628284631605776385,3,"Y","LLAMA2"
"expressing gratitude","high",1628284631605776385,3,"Y","LLAMA2"
"feeling loved by god","medium",1628284631605776385,3,"N","LLAMA2"
"belief in god","medium",1628284631605776385,3,"N","LLAMA2"
"spiritual punishment","low",1628284631605776385,3,"N","LLAMA2"
"religious criticism","low",1628284631605776385,3,"N","LLAMA2"
"feeling having a political voice","low",1628284631605776385,3,"N","LLAMA2"
"expressing government approval","medium",1628284631605776385,3,"N","LLAMA2"
"having hope","high",1628284631605776385,3,"N","LLAMA2"
"expressing empathy","high",1628284631605776385,3,"N","LLAMA2"
"happiness","low",1629231922277912576,3,"Y","LLAMA2"
"resilience","low",1629231922277912576,3,"N","LLAMA2"
"self-esteem","low",1629231922277912576,3,"Y","LLAMA2"
"life satisfaction","low",1629231922277912576,3,"Y","LLAMA2"
"fear of future","high",1629231922277912576,3,"N","LLAMA2"
"vitality","low",1629231922277912576,3,"N","LLAMA2"
"positive functioning","low",1629231922277912576,3,"N","LLAMA2"
"expressing job satisfaction","low",1629231922277912576,3,"N","LLAMA2"
"expressing optimism","low",1629231922277912576,3,"N","LLAMA2"
"peace with thoughts and feelings","low",1629231922277912576,3,"N","LLAMA2"
"purpose in life","low",1629231922277912576,3,"N","LLAMA2"
"depression","high",1629231922277912576,3,"N","LLAMA2"
"anxiety","high",1629231922277912576,3,"N","LLAMA2"
"suffering","high",1629231922277912576,3,"N","LLAMA2"
"feeling pain","high",1629231922277912576,3,"N","LLAMA2"
"feeling loved by god","low",1629231922277912576,3,"N","LLAMA2"
"belief in god","low",1629231922277912576,3,"N","LLAMA2"
"religious criticism","medium",1629231922277912576,3,"N","LLAMA2"
"having hope","high",1629231922277912576,3,"N","LLAMA2"
"feeling having a political voice","medium",1629231922277912576,3,"N","LLAMA2"
"promoting good","medium",1629231922277912576,3,"N","LLAMA2"
"ptsd (post-traumatic stress disorder)","high",1629231922277912576,3,"N","LLAMA2"
"expressing empathy","low",1629231922277912576,3,"N","LLAMA2"
"happiness","low",1629071987929653249,3,"Y","LLAMA2"
"life satisfaction","low",1629071987929653249,3,"Y","LLAMA2"
"fear of future","high",1629071987929653249,3,"Y","LLAMA2"
"suffering","high",1629071987929653249,3,"Y","LLAMA2"
"anxiety","high",1629071987929653249,3,"Y","LLAMA2"
"expressing gratitude","high",1629071987929653249,3,"N","LLAMA2"
"feeling trusted","low",1629071987929653249,3,"N","LLAMA2"
"belonging to society","low",1629071987929653249,3,"N","LLAMA2"
"perceiving discrimination","low",1629071987929653249,3,"N","LLAMA2"
